filename,caption_from_docs,caption_in_spreadsheet
fig_01_01.jpg,"Fig. 1.1 Hydraulic capstan, Liverpool 1901.","Fig. 1.1 Hydraulic capstan, Liverpool 1901."
fig_01_02.svg,Fig 2. With rope over a single-wheel pulley.  A net full of fish would be too heavy to lift.,
fig_01_03.svg,Fig 3. Wrap the rope around a rotating cylinder and it becomes easy to lift heavy loads.,Fig 1.3. Wrap the rope around a rotating cylinder and it becomes easy to lift heavy loads.
fig_01_04.svg,"Fig. 4.  A rope round a rotating cylinder making contact around a small arc dθ, the tension increases by a small amount dT on account of friction.","Fig. 1.4.  A rope round a rotating cylinder making contact around a small arc dθ, the tension increases by a small amount dT on account of friction."
fig_01_05a.svg,NOT FOUND IN DOC,"Fig. 1.5. Forces and velocities on a locked wheel. (a) Car moving forward with velocity v, (b) diagram showing the road moving relative to the wheel."
fig_01_05b.svg,NOT FOUND IN DOC,"Fig. 1.5. Forces and velocities on a locked wheel. (a) Car moving forward with velocity v, (b) diagram showing the road moving relative to the wheel."
fig_01_06a.svg,NOT FOUND IN DOC,Fig. 1.6. (a) Frictional and centrifugal force on a turning car. (b) The forces if the hand brake is applied.
fig_01_06b.svg,NOT FOUND IN DOC,Fig. 1.6. (a) Frictional and centrifugal force on a turning car. (b) The forces if the hand brake is applied.
fig_01_07.svg,Fig. 7. The principle of Ackerman steering. All wheels rotate around the same point. This cyclist is borderline safe in this illustration.,Fig. 1.7. The principle of Ackerman steering. All wheels rotate round the same point. This cyclist is borderline safe in this illustration.
fig_01_08.svg,Fig. 8. The Geometry of Ackerman steering.  The linkage creates the angles shown in Fig 1.7.,Fig. 1.8. The Geometry of Ackerman steering.  The linkage creates the angles shown in Fig 1.7.
fig_01_09a.svg,NOT FOUND IN DOC,"Fig. 1.9. The Ackerman design isn't perfect but it works pretty well.  Ideally x will always be equal to x0, but this only happens exactly at φ=48 degrees."
fig_01_09b.svg,NOT FOUND IN DOC,"Fig. 1.9. The Ackerman design isn't perfect but it works pretty well.  Ideally x will always be equal to x0, but this only happens exactly at φ=48 degrees."
fig_01_10a.png,NOT FOUND IN DOC,Fig. 1.10. (a)  φ = 16° and (b) φ = 48°
fig_01_10b.png,NOT FOUND IN DOC,Fig. 1.10. (a)  φ = 16° and (b) φ = 48°
